Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
2890,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2900,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2910,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2920,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2930,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2940,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2950,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2960,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2970,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2980,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2990,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3000,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3010,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3020,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3030,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
